Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"171","Unassigned","Arihant Superstructures Limited","https://asl.net.in","readymade-fallback","HIGH","NO","N/A","info@asl.net.in","[General Contact Email] info@asl.net.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 24. Lighthouse A11y: 30/100."
"172","Unassigned","Arisinfra Solutions Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"173","Unassigned","Arkade Developers Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"174","Unassigned","Arman Financial Services Limited","https://armanindia.com","readymade-fallback","HIGH","NO","N/A","finance@armanindia.com","[Investor Grievance / Compliance Officer Email] finance@armanindia.com; [General Contact Email] finance@armanindia.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 6. Lighthouse A11y: 76/100."
"175","Unassigned","Aro Granite Industries Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"176","Unassigned","Arrow Greentech Limited","https://arrowgreentech.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"177","Unassigned","Arshiya Limited","https://arshiyalimited.com","readymade-fallback","HIGH","NO","N/A","info@arshiyalimited.com","[General Contact Email (Guessed Pattern)] info@arshiyalimited.com; [Investor Grievance Email (Guessed Pattern)] contact@arshiyalimited.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"180","Unassigned","Art Nirman Limited","https://artnirman.com","readymade-fallback","HIGH","NO","N/A","sales@artnirman.com","[Investor Grievance / Compliance Officer Email] cs@artnirman.com; [General Contact Email] sales@artnirman.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 9. Lighthouse A11y: 64/100."
"66","Unassigned","Artemis Electricals and Projects Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"179","Unassigned","Artemis Medicare Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"181","Unassigned","Arvee Laboratories (India) Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"183","Unassigned","Arvind Fashions Limited","https://arvindfashions.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"182","Unassigned","Arvind Limited","https://arvind.com","readymade-fallback","HIGH","NO","N/A","info@arvind.com","[General Contact Email (Guessed Pattern)] info@arvind.com; [Investor Grievance Email (Guessed Pattern)] contact@arvind.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"184","Unassigned","Arvind SmartSpaces Limited","https://arvindsmartspaces.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"185","Unassigned","Asahi India Glass Limited","https://aisglass.com","readymade-fallback","HIGH","NO","N/A","info@aisglass.com","[General Contact Email (Guessed Pattern)] info@aisglass.com; [Investor Grievance Email (Guessed Pattern)] contact@aisglass.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"186","Unassigned","Asahi Songwon Colors Limited","https://asahisongwon.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"189","Unassigned","Ashapura Minechem Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"190","Unassigned","Ashiana Housing Limited","https://ashianahousing.com","readymade-fallback","HIGH","NO","N/A","info@ashianahousing.com","[General Contact Email (Guessed Pattern)] info@ashianahousing.com; [Investor Grievance Email (Guessed Pattern)] contact@ashianahousing.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"191","Unassigned","Ashika Global Securities Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"192","Unassigned","Ashima Limited","https://ashima.ph","readymade-fallback","HIGH","NO","N/A","info@konsum.ph","[General Contact Email] info@konsum.ph","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"195","Unassigned","Ashok Leyland Limited","https://ashokleyland.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"193","Unassigned","Ashoka Buildcon Limited","https://ashokabuildcon.com","readymade-fallback","HIGH","NO","N/A","info@ashokabuildcon.com","[General Contact Email (Guessed Pattern)] info@ashokabuildcon.com; [Investor Grievance Email (Guessed Pattern)] contact@ashokabuildcon.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 7. Lighthouse A11y: 72/100."
"194","Unassigned","Ashoka Metcast Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"196","Unassigned","Asian Energy Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"199","Unassigned","Asian Granito India Limited","https://aglasiangranito.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"87","Unassigned","Asian Hotels (East) Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"197","Unassigned","Asian Hotels (North) Limited","https://asianhotelsnorth.com","readymade-fallback","HIGH","NO","N/A","investorrelations@ahlnorth.com","[Investor Grievance / Compliance Officer Email] sunil.upadhyay@ahlnorth.com; [General Contact Email] investorrelations@ahlnorth.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 13. Lighthouse A11y: 48/100."
"89","Unassigned","Asian Hotels (West) Limited","https://asianhotelswest.com","readymade-fallback","HIGH","NO","N/A","cs@asianhotelswest.com","[Investor Grievance / Compliance Officer Email] cs@asianhotelswest.com; [General Contact Email] cs@asianhotelswest.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 49. Lighthouse A11y: 30/100."
"198","Unassigned","Asian Paints Limited","https://asianpaints.com","readymade-fallback","HIGH","NO","N/A","customercare@asianpaints.com","[General Contact Email] customercare@asianpaints.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"203","Unassigned","Asian Star Company Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"202","Unassigned","Aspinwall and Company Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"188","Unassigned","Associated Alcohols & Breweries Ltd.","https://associatedalcohols.com","readymade-fallback","HIGH","NO","N/A","info@aabl.in","[Investor Grievance / Compliance Officer Email] investorrelations@aabl.in; [General Contact Email] info@aabl.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"204","Unassigned","Astec LifeSciences Limited","https://astecls.com","readymade-fallback","HIGH","NO","N/A","info@astecls.com","[General Contact Email (Guessed Pattern)] info@astecls.com; [Investor Grievance Email (Guessed Pattern)] contact@astecls.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"205","Unassigned","Aster DM Quality Care Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"208","Unassigned","AstraZeneca Pharma India Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"207","Unassigned","Astra Microwave Products Limited","https://astramwp.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"206","Unassigned","Astral Limited","https://astrallimited.pl","readymade-fallback","HIGH","NO","N/A","info@astrallimited.pl","[General Contact Email] info@astrallimited.pl","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 13. Lighthouse A11y: 48/100."
"209","Unassigned","Astron Paper & Board Mill Limited","https://astronpaper.com","readymade-fallback","HIGH","NO","N/A","info@astronpaper.com","[General Contact Email (Guessed Pattern)] info@astronpaper.com; [Investor Grievance Email (Guessed Pattern)] contact@astronpaper.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"210","Unassigned","Atal Realtech Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"211","Unassigned","Atam Valves Limited","https://atamvalves.in","readymade-fallback","HIGH","NO","N/A","sales@atamfebi.com","[General Contact Email] sales@atamfebi.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"213","Unassigned","Ather Energy Limited","https://atherenergy.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"216","Unassigned","Atlanta Electricals Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"217","Unassigned","Atlas Cycles (Haryana) Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"219","Unassigned","Atul Auto Limited","https://atulauto.co.in","readymade-fallback","HIGH","NO","N/A","info@atulauto.co.in","[Investor Grievance / Compliance Officer Email] investorrelations@atulauto.co.in; [General Contact Email] info@atulauto.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 18. Lighthouse A11y: 30/100."
"218","Unassigned","Atul Limited","https://atulsongaday.me","readymade-fallback","HIGH","NO","N/A","info@atulsongaday.me","[General Contact Email (Guessed Pattern)] info@atulsongaday.me; [Investor Grievance Email (Guessed Pattern)] contact@atulsongaday.me","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"221","Unassigned","Aurionpro Solutions Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"222","Unassigned","Aurobindo Pharma Limited","https://aurobindo.com","readymade-fallback","HIGH","NO","N/A","Life@aurobindo2.webp","[Investor Grievance / Compliance Officer Email] Life@aurobindo2.webp; [General Contact Email] Life@aurobindo2.webp","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 9. Lighthouse A11y: 64/100."
"223","Unassigned","Aurum PropTech Limited","https://aurumproptech.in","readymade-fallback","HIGH","NO","N/A","contact@aurumproptech.in","[General Contact Email] contact@aurumproptech.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 40. Lighthouse A11y: 30/100."
"225","Unassigned","Ausom Enterprise Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"91","Unassigned","Authum Investment & Infrastructure Limited","https://authum.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"227","Unassigned","Autoline Industries Limited","https://autolineind.com","readymade-fallback","HIGH","NO","N/A","enquiry@autolineind.com","[General Contact Email] enquiry@autolineind.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"226","Unassigned","Automotive Axles Limited","https://autoaxle.com","readymade-fallback","HIGH","NO","N/A","sec@autoaxle.com","[Investor Grievance / Compliance Officer Email] sec@autoaxle.com; [General Contact Email] sec@autoaxle.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 33. Lighthouse A11y: 30/100."
"187","Unassigned","Automotive Stampings and Assemblies Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"228","Unassigned","Avadh Sugar & Energy Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"229","Unassigned","Avalon Technologies Limited","https://avalontec.com","readymade-fallback","HIGH","NO","N/A","info@avalontec.com","[General Contact Email] info@avalontec.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"230","Unassigned","Avantel Limited","https://avantel.co","readymade-fallback","HIGH","NO","N/A","info@avantel.co","[General Contact Email (Guessed Pattern)] info@avantel.co; [Investor Grievance Email (Guessed Pattern)] contact@avantel.co","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"231","Unassigned","Avanti Feeds Limited","https://avantifeeds.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"570","Unassigned","Avenue Supermarts Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"402","Unassigned","AvenuesAI Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"201","Unassigned","Avio Smart Market Stack Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"234","Unassigned","Avonmore Capital & Management Services Limited","https://avonmorecapital.in","readymade-fallback","HIGH","NO","N/A","info@almondz.com","[General Contact Email] info@almondz.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"237","Unassigned","Awfis Space Solutions Limited","https://awfis.co","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"240","Unassigned","Axis Bank Limited","https://axisbank.com","readymade-fallback","HIGH","NO","N/A","PNO@axis.bank.in","[Investor Grievance / Compliance Officer Email] PNO@axis.bank.in; [General Contact Email] PNO@axis.bank.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 40. Lighthouse A11y: 30/100."
"242","Unassigned","Axita Cotton Limited","https://axitacotton.com","readymade-fallback","HIGH","NO","N/A","info@axitacotton.com","[General Contact Email (Guessed Pattern)] info@axitacotton.com; [Investor Grievance Email (Guessed Pattern)] contact@axitacotton.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"243","Unassigned","Aye Finance Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"245","Unassigned","Azad Engineering Limited","https://azad.in","readymade-fallback","HIGH","NO","N/A","Info@azad.in","[Investor Grievance / Compliance Officer Email] cs@azad.in; [General Contact Email] Info@azad.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"264","Unassigned","BALAXI PHARMACEUTICALS LIMITED","https://balaxipharma.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"281","Unassigned","BASF India Limited","https://basf.com","readymade-fallback","HIGH","NO","N/A","N/A","[General Contact Email] ","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 43. Lighthouse A11y: 30/100."
"293","Unassigned","BCPL Railway Infrastructure Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"339","Unassigned","BEML Land Assets Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"302","Unassigned","BEML Limited","https://bemlindia.in","readymade-fallback","HIGH","NO","N/A","office.cio@beml.co.in","[General Contact Email] office.cio@beml.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"308","Unassigned","BF Investment Limited","https://bfigroup.org","readymade-fallback","HIGH","NO","N/A","info@bfigroup.org","[General Contact Email] info@bfigroup.org","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 18. Lighthouse A11y: 30/100."
"309","Unassigned","BF Utilities Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"310","Unassigned","BGR Energy Systems Limited","https://bgrcorp.com","readymade-fallback","HIGH","NO","N/A","info@bgrcorp.com","[General Contact Email (Guessed Pattern)] info@bgrcorp.com; [Investor Grievance Email (Guessed Pattern)] contact@bgrcorp.com","Unverified - guessed pattern","Yes","Yes","None","No","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"328","Unassigned","BIL VYAPAR LIMITED","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"376","Unassigned","BIRLASOFT LIMITED","https://birlasoft.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"337","Unassigned","BLACKBUCK LIMITED","https://blackbuck.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"340","Unassigned","BLB Limited","https://blblimited.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"345","Unassigned","BLS E-Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"344","Unassigned","BLS International Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"353","Unassigned","BMW Ventures Limited","https://bmwventures.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
